3,0.159,0.000,0.000,0.000,-0.000,0.000,-0.000,
5,0.159,0.000,0.000,0.000,-0.000,-0.000,-0.000,
7,1.222,1.438,0.032,0.021,0.001,0.025,-0.000,
8,1.319,1.693,0.055,0.045,0.002,0.058,0.000,
9,0.423,0.151,0.000,0.000,0.000,0.000,0.000,
10,0.425,0.150,0.001,0.000,0.000,0.000,-0.000,
11,1.348,1.753,0.098,0.073,0.006,0.096,0.000,
12,0.159,0.000,0.000,0.000,-0.000,-0.000,-0.000,
13,0.463,0.183,0.002,0.001,0.000,0.000,0.000,
14,1.279,1.571,0.088,0.063,0.005,0.079,-0.000,
15,1.247,1.488,0.102,0.074,0.006,0.090,0.000,
16,1.077,1.109,0.046,0.033,0.001,0.035,-0.000,
17,0.159,0.000,0.000,0.000,-0.000,-0.000,0.000,
18,1.281,1.588,0.042,0.030,0.001,0.037,-0.000,
19,0.159,0.000,0.000,0.000,0.000,0.000,-0.000,
20,0.457,0.179,0.001,0.001,0.000,0.000,-0.000,
21,1.291,1.602,0.087,0.062,0.005,0.079,0.000,
24,1.143,1.245,0.034,0.020,0.001,0.022,-0.000,
25,0.159,0.000,0.000,0.000,-0.000,0.000,-0.000,
26,0.427,0.152,0.001,0.000,0.000,0.000,-0.000,
27,1.003,0.957,0.031,0.021,0.001,0.021,0.000,
28,0.434,0.161,0.000,0.000,0.000,0.000,0.000,
29,0.458,0.183,0.000,0.000,0.000,0.000,-0.000,
